_id,nombre_playa,provincia,id_costa
135,Tres Micos,Barcelona,
134,Cadavedo,Asturias,
133,Andrin,Asturias,
131,Mataleñas,Cantabria,3907506
128,Sant Salvador,Tarragona,
124,Granadella,Alicante,308211
122,Les Deveses/Santa Ana,Alicante,306301
110,Benissero,Alicante,308204
109,El Arenal,Alicante,308204
108,Marineta Casiana,Alicante,306310
107,Punta Raset,Alicante,306310
105,Les Bovetes/Les Fonts,Alicante,306308
99,Piteras,Alicante,313302
98,Los Naufragos,Alicante,313302
97,El Cura,Alicante,313302
96,Los Locos,Alicante,313302
95,Mata 1 Pueblo,Alicante,313302
91,Montgat-St Joan,Barcelona,
89,Varador,Barcelona,
83,Playa Del Ingles,Las Palmas,
82,Maspalomas-Faro,Las Palmas,
81,Cueva,Asturias,
80,Otur,Asturias,
79,Huelgues,Asturias,
78,Xivares/Peña Mª,Asturias,
77,Carranques,Asturias,
76,Palmera,Asturias,
73,Cuevas  Del Mar,Asturias,
72,San Antolin,Asturias,
71,Torimbia,Asturias,
70,Toranda,Asturias,
67,Palombina,Asturias,
65,Poo,Asturias,
64,Toró,Asturias,
62,Ballota,Asturias,
61,Vidiago,Asturias,
54,Zarautz,Gipuzkoa,
53,Isla De Santa Clara,Gipuzkoa,
52,La Concha,Gipuzkoa,
51,Zurriola,Gipuzkoa,
49,Hondarribia,Gipuzkoa,
47,Gavà,Barcelona,
43,Miramar,Ceuta,
42,Rivera,Ceuta,
41,Chorrillo,Ceuta,
40,Saler - Garrofera,Valencia,4625004
36,Virgen Del Mar,Cantabria,3907506
35,San Juan De La Canal,Cantabria,3907302
34,Covachos,Cantabria,3907302
33,La Arnia,Cantabria,3905201
32,Portio,Cantabria,3905201
31,Canallave,Cantabria,3905201
30,Valdearenas,Cantabria,3905201
24, Pinedo -Pinedo,Valencia,4625004
20,Las Teresitas,Tenerife,
19,Las Canteras,Las Palmas,
6,La Barrosa - 2  Pista,Cádiz,
